NEO4J QUERY RESULTS
===================


--- Query 1: Find the top 3 most cited papers of each conference/workshop Results ---

Event | PaperTitle | Citations
AIP Conference Proceedings | Design a dual-band microstrip antenna for Wi-Fi and mid band 5G applications | 0
ARES | Model-Driven Application-Level Encryption for the Privacy of E-health Data | 0
ARES | On Designing a Generic Framework for Big Data-as-a-Service | 0
Adaptive Agents and Multi-Agent Systems | Fairness Driven Efficient Algorithms for Sequenced Group Trip Planning Query Problem | 0
Advanced Industrial Conference on Telecommunications | The mesothelioma disease diagnosis with artificial intelligence methods | 13
Advanced Industrial Conference on Telecommunications | SAP Analytics Cloud: intellectual analysis of small and medium-sized business activities in Russia in the context of COVID-19 | 0
Advanced Industrial Conference on Telecommunications | Digital technologies in the formation the students’ supra professional competencies | 0
American Control Conference | Conic Optimization Theory: Convexification Techniques and Numerical Algorithms | 0
American Control Conference | Consensus and Approximation-based Distribution Statistics in Network Systems | 0
Annual Conference of the IEEE Industrial Electronics Society | Temporal Data Version Identification using Signature Hash | 0
Annual Conference on Genetic and Evolutionary Computation | A benefit-driven genetic algorithm for balancing privacy and utility in database fragmentation | 0
Annual Conference on Genetic and Evolutionary Computation | Federated Genetic Algorithm: Two-Layer Privacy-Preserving Trajectory Data Publishing | 0
Annual Conference on Innovation and Technology in Computer Science Education | Can Small Language Models With Retrieval-Augmented Generation Replace Large Language Models When Learning Computer Science? | 1
Annual IEEE International Conference on Pervasive Computing and Communications | Fine-grained Stop-Move Detection in UWB-based Trajectories | 0
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval | LOAM: Improving Long-tail Session-based Recommendation via Niche Walk Augmentation and Tail Session Mixup | 0
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval | Continuous Input Embedding Size Search For Recommender Systems | 0
Annual International ACM SIGIR Conference on Research and Development in Information Retrieval | Interpreting Patient Descriptions using Distantly Supervised Similar Case Retrieval | 0
Annual International Computer Software and Applications Conference | Unification of Machine Learning Features | 2
Annual International Computer Software and Applications Conference | Blockchain-based Medical Image Sharing and Automated Critical-results Notification: A Novel Framework | 2
Annual International Computer Software and Applications Conference | Distributed Big Data Computing for Supporting Predictive Analytics of Service Requests | 1
Annual International Conference of the IEEE Engineering in Medicine and Biology Society | Transformer-based CNNs: Mining Temporal Context Information for Multi-sound COVID-19 Diagnosis | 4
Annual International Conference of the IEEE Engineering in Medicine and Biology Society | Combining collective and artificial intelligence for global health diseases diagnosis using crowdsourced annotated medical images | 4
Annual International Conference of the IEEE Engineering in Medicine and Biology Society | Cross-corpus Feature Learning between Spontaneous Monologue and Dialogue for Automatic Classification of Alzheimer’s Dementia Speech | 1
Annual Meeting of the Association for Computational Linguistics | SMedBERT: A Knowledge-Enhanced Pre-trained Language Model with Structured Semantics for Medical Text Mining | 7
Annual Meeting of the Association for Computational Linguistics | PrivLM-Bench: A Multi-level Privacy Evaluation Benchmark for Language Models | 2
Annual Meeting of the Association for Computational Linguistics | Scientific Fact-Checking: A Survey of Resources and Approaches | 0
Asia and South Pacific Design Automation Conference | Scalable frequent-pattern mining on nonvolatile memories | 1
Asia and South Pacific Design Automation Conference | A Garbage Collection Aware Stripping method for Solid-State Drives | 1
Asia-Pacific Conference on Communications | SecretStore: A Secrecy as a Service model to enable the Cloud Storage to store user's secret data | 0
Asia-Pacific Conference on Intelligent Robot Systems | Storing and querying AIS data in HBase | 3
Asia-Pacific Conference on Intelligent Robot Systems | Massive AIS Data Management Based on HBase and Spark | 1
Asia-Pacific Signal and Information Processing Association Annual Summit and Conference | Reduction of Annotation Effort in Medical Image Analysis Based on Self-supervised Learning | 0
Asian Conference on Computer Vision | Finding Camera Overlap in Large Surveillance Networks | 0
Asilomar Conference on Signals, Systems and Computers | Beyond Procrustes: Balancing-free Gradient Descent for Asymmetric Low-Rank Matrix Sensing | 8
Asilomar Conference on Signals, Systems and Computers | Authentication of parties in piggy bank cryptography | 0
Automation, Control, and Information Technology | Detection of Thyroid Disease Through Machine Learning Technique | 0
Autonomous Infrastructure, Management and Security | Enhancing Cybersecurity: Two-Phase Detection Approach for Intrusion Network for Anomaly Data | 0
BIO Web of Conferences | Learn Land Features Using Python Language | 0
BIO Web of Conferences | Design and Implementation IOT2ALK cloud Computing Platform for IOT Applications | 0
BigData Congress [Services Society] | Knowledge Graphs, Clinical Trials, Dataspace, and AI: Uniting for Progressive Healthcare Innovation | 1
BigData Congress [Services Society] | Blockchain-Based Decentralized Verifiable Credentials: Leveraging Smart Contracts for Privacy-Preserving Authentication Mechanisms to Enhance Data Security in Scientific Data Access | 1
BigData Congress [Services Society] | Fuzzy Querying in the Cloud-based Environment for Data Stream-driven Predictive Maintenance in AGV-enabled Smart Factories | 0
Biomedical Circuits and Systems Conference | An Effective Tuberculosis Detection System Based on Improved Faster R-CNN with RoI Align Method | 0
Brazilian Conference on Intelligent Systems | A Hybrid Strategy to Evolve Cellular Automata Rules with a Desired Dynamical Behavior Applied to the Task Scheduling Problem | 0
Canadian Conference on Electrical and Computer Engineering | A content-based data masking technique for a built-in framework in Business Intelligence platform | 1
Canadian Conference on Electrical and Computer Engineering | A Cooperative Spectrum Sensing Architecture and Algorithm for Cloud- and Big Data-based Cognitive Radio Networks | 0
Canadian Conference on Electrical and Computer Engineering | Towards Smart Trust Management of VANETs | 0
Chinese Control and Decision Conference | A Method for Measurement Data Modeling and High-Dimensional Outlier Detection Based on Large Dimensional Matrix | 0
Chinese Control and Decision Conference | An Optimized Random Forest Classification Method for Processing Imbalanced Data Sets of Alzheimer's Disease | 0
Chinese Control and Decision Conference | Joint Model of Intent Recognition and Slot Filling Based on Graph Neural Network fusion of external knowledge base | 0
Climatic Change | Facilitating Role of Cloud Computing in Driving Big Data Emergence | 13
Computer Science in Cars Symposium | An Analysis of Service Level Agreement Parameters and Scheduling in Multi-Tenant Cloud Systems | 1
Computer Science in Cars Symposium | Apache Spark and Apache Ignite Performance Analysis | 1
Computer Science in Cars Symposium | DEW: A New Edge Computing Component for Distributed Dynamic Networks | 0
Computer Vision and Pattern Recognition | Rethinking Computer-Aided Tuberculosis Diagnosis | 75
Computer Vision and Pattern Recognition | Towards Low-Cost and Efficient Malaria Detection | 2
Computer Vision and Pattern Recognition | Divergence Prior and Vessel-Tree Reconstruction | 0
Computing and Communication Workshop and Conference | Framework modeling for User privacy in cloud computing | 1
Conference Information and Communication Technology | Parkinson’s Disease Detection Using Multiple Speech Signals | 0
Conference Information and Communication Technology | Few Shot Learning for Medical Imaging: A Review of Categorized Images | 0
Conference Series | Digitization of Hizib Nahdlatul Wathan by TGKH. Muhammad Zainuddin Abdul Madjid Based on the OPF Flipbook | 0
Conference of the European Chapter of the Association for Computational Linguistics | Evaluating Unsupervised Argument Aligners via Generation of Conclusions of Structured Scientific Abstracts | 0
Conference of the European Chapter of the Association for Computational Linguistics | Argument Mining as a Text-to-Text Generation Task | 0
Conference of the Open Innovations Association | Solution Management for Current Temporal Aspect Using Tuple Versions | 0
Conference of the Open Innovations Association | On Proximity Application Server | 0
Conference of the Open Innovations Association | Data Management in Hierarchical Database - Branches Notification | 0
Conference on Advanced Computer Architecture | COVID-19 Detection of CT Chest Images with Artificial Intelligence Algorithms | 0
Conference on Algebraic Informatics | Natural language processing to estimate RECIST response in cancer patients | 0
Conference on Blockchain Research & Applications for Innovative Networks and Services | GeoBlocks: Trustless Geospatial Data Sharing with Accountability and Decentralized Access Control | 0
Conference on Business Informatics | Providing Clarity on Big Data Technologies: A Structured Literature Review | 2
Conference on Business Informatics | Big Data Analysis on Demographic Characteristics of Chinese Mobile Banking Users | 0
Conference on Business Informatics | Building Technology and Predictive Analytics Models in the SAP Analytic Cloud Digital Service | 0
Conference on Computer Communications Workshops | Detection of Multipath Routing with Passive Delay Measurements | 1
Conference on Computer Communications Workshops | Poster Abstract: Deep Reinforcement Learning-based Resource Allocation in Vehicular Fog Computing | 0
Conference on Computer Science and Information Systems | Big Data Platform for Smart Grids Power Consumption Anomaly Detection | 0
Conference on Computer Science and Information Systems | Enterprise Modeling: From Digital Transformation to Digital Ubiquity | 0
Conference on Computer Science and Information Systems | Considering various aspects of models’ quality in the ML pipeline - application in the logistics sector | 0
Conference on Computer and Communications Security | Preserving Both Privacy and Utility in Network Trace Anonymization | 2
Conference on Control Technology and Applications | Dynamic Models for the Formal Verification of Big Data Applications Via Stochastic Model Checking | 0
Conference on Empirical Methods in Natural Language Processing | Infusing Disease Knowledge into BERT for Health Question Answering, Medical Inference and Disease Name Recognition | 77
Conference on Empirical Methods in Natural Language Processing | Mixture-of-Partitions: Infusing Large Biomedical Knowledge Graphs into BERT | 7
Conference on Empirical Methods in Natural Language Processing | Parameter-Efficient Domain Knowledge Integration from Multiple Sources for Biomedical Pre-trained Language Models | 4
Conference on Information and Knowledge Technology | A hybrid approach for database intrusion detection at transaction and inter-transaction levels | 10
Conference on Information and Knowledge Technology | AI-based Secure Intrusion Detection Framework for Digital Twin-enabled Critical Infrastructure | 0
Conference on Information and Knowledge Technology | Blockchain-based Secure UAV-assisted Battlefield Operation underlying 5G | 0
Conference on Innovation in Clouds, Internet and Networks | A data flow architecture for smart city applications | 0
Conference on Innovation in Clouds, Internet and Networks | Wormhole: a novel big data platform for 100 Gbit/s network monitoring and beyond | 0
Conference on Innovative Data Systems Research | A Unified Transferable Model for ML-Enhanced DBMS | 6
Conference on Innovative Data Systems Research | It Takes Two: Instrumenting the Interaction between In-Memory Databases and Solid-State Drives | 3
Conference on Innovative Data Systems Research | Workload-driven, Lazy Discovery of Data Dependencies for Query Optimization | 3
Conference on Intelligent Text Processing and Computational Linguistics | Semantic-Based Temporal Text-Rule Mining | 0
Conference on Multimedia Information Processing and Retrieval | Visual Passage Score Aggregation for Image Retrieval | 0
Conference on Network Function Virtualization and Software Defined Network | Efficient Service Chain Verification Using Sketches and Small Samples | 0
Conference on Network and Service Management | Experiments or simulation? A characterization of evaluation methods for in-memory databases | 0
Conference on Privacy, Security and Trust | An Efficient and Privacy-Preserving Range Query over Encrypted Cloud Data | 0
Conference on Privacy, Security and Trust | A Taxonomy of Secure Two-Party Comparison Protocols and Efficient Constructions | 0
Conference on Research, Innovation and Vision for the Future in Computing & Communication Technologies | Collaborative Learning Assessment via Information and Communication Technology | 0
Conference record of IEEE International Symposium on Electrical Insulation | Advances in data mining for dissolved gas analysis | 3
Conference record of IEEE International Symposium on Electrical Insulation | A novel approach (scoring system) for integrating dissolved gas analysis results into a life management system | 0
Conferences on Next Generation Computing Applications | A critical review of factors influencing the remaining driving range of electric vehicles | 0
Confluence | An Analysis of Machine Learning Algorithms for Chronic Kidney Disease Prediction | 0
Confluence | The Science of Rule-based Classifiers | 0
Confluence | Overcoming the limitations of von Neumann architecture in big data systems | 0
Consumer Communications and Networking Conference | Distributed Scheduling for Time-Critical Tasks in a Two-layer Vehicular Fog Computing Architecture | 0
Consumer Communications and Networking Conference | Contact Tracing Platform in OSN for Prevention of Infectious Disease Outbreaks | 0
Consumer Communications and Networking Conference | Cooperative Task-Oriented Group Formation for Vehicular Networks | 0
Control | Big data processing and analysis platform for condition monitoring of electric power system | 3
Cybersecurity and Cyberforensics Conference | I-CFSFDP: A Robust and High Accuracy Clustering Method Based on CFSFDP | 0
Cybersecurity and Cyberforensics Conference | Review of Knowledge Graph and Its Vertical Applications in Industry | 0
Cybersecurity and Cyberforensics Conference | A Blockchain-Based Semi-Centralized Business System for Multi-Enterprise | 0
Design Automation Conference | INVITED: Enabling Practical Processing in and near Memory for Data-Intensive Computing | 7
Design Automation Conference | Stannis: Low-Power Acceleration of DNN Training Using Computational Storage Devices | 7
Design Automation Conference | VStore: in-storage graph based vector search accelerator | 1
Design, Automation and Test in Europe | Continuous learning of HPC infrastructure models using big data analytics and in-memory processing tools | 39
Design, Automation and Test in Europe | Intelligent Architectures for Intelligent Computing Systems | 5
Design, Automation and Test in Europe | HDCluster: An Accurate Clustering Using Brain-Inspired High-Dimensional Computing | 2
Digital Signal Processing and Signal Processing Education Workshop | Noise-cuts-Noise Approach for Mitigating the JPEG Distortions in Deep Learning | 0
Discover | PreScienceMED: Leveraging Text Classification for Precise Disease Prediction | 0
Distributed Event-Based Systems | Tutorial: personal big data management in the cyber-physical systems - the role of event processing | 4
E-Health and Bioengineering Conference | The Implications of Big Data in Healthcare | 0
E3S Web of Conferences | Digital approach to construction and demolition | 0
E3S Web of Conferences | Internet of Things Technology for an Autonomous Photovoltaic Solar Energy System Monitoring | 0
E3S Web of Conferences | Importance of Big Data variables in Agriculture: A comprehensive literature review with a particular focus on variables | 0
EPJ Web of Conferences | HEP@home: A Volunteer Computing Project to Run Fast Simulation with Delphes for CEPC | 0
EUROMICRO Conference on Software Engineering and Advanced Applications | Real-Time Estimated Time of Arrival Prediction System using Historical Surveillance Data | 0
Electrical Power and Energy Conference | A novel V2V charging scheme to optimize cost and alleviate range anxiety | 0
Embedded Systems and Applications | Faster Approximate Covering of Subcurves under the Fréchet Distance | 1
Euromicro Symposium on Digital Systems Design | A Review of Near-Memory Computing Architectures: Opportunities and Challenges | 3
Euromicro Symposium on Digital Systems Design | ANTAREX: A DSL-Based Approach to Adaptively Optimizing and Enforcing Extra-Functional Properties in High Performance Computing | 2
European Conference on Artificial Intelligence | Transformer-Based Argument Mining for Healthcare Applications | 31
European Conference on Artificial Intelligence | Decision Support System to Determine the Replacement Ranking of the Aged Transformers in Electric Distribution Networks | 0
European Conference on Artificial Intelligence | Local context is not enough! Towards Query Semantic and Knowledge Guided Multi-Span Medical Question Answering | 0
European Conference on Computer Systems | Accessible near-storage computing with FPGAs | 8
European Conference on Computer Systems | Flashabacus: a self-governing flash-based accelerator for low-power systems | 4
European Conference on Computer Systems | Bridging the performance gap for copy-based garbage collectors atop non-volatile memory | 4
European Conference on Information Retrieval | MedSumm: A Multimodal Approach to Summarizing Code-Mixed Hindi-English Clinical Queries | 1
European Conference on Information Retrieval | Yes, this is what I was looking for! Towards Multi-modal Medical Consultation Concern Summary Generation | 0
European Conference on Information Systems | Chatbot Acceptance in Healthcare: Explaining User Adoption of Conversational Agents for disease Diagnosis | 62
European Conference on Information Systems | Chatbots in Healthcare: Status Quo, Application Scenarios for Physicians and patients and Future Directions | 2
European Conference on Information Systems | Unleashing the Potential of Conversational Agents for Course Evaluations: Empirical Insights from a Comparison with Web Surveys | 2
European Conference on Networks and Communications | Reliable capacity provisioning for distributed cloud/edge/fog computing applications | 2
European Control Conference | Analysis of autonomous vehicle dynamics based on the big data approach | 2
European Control Conference | Impact of big data on the design of MPC control for autonomous vehicles | 0
European Network Intelligence Conference | A Privacy-Preserving Framework for Mining Continuous Sequences in Trajectory Systems | 0
European Signal Processing Conference | Assessing Gender Fairness in EEG-Based Machine Learning Detection of Parkinson's Disease: A Multi-Center Study | 4
European Signal Processing Conference | Low-Rank Data Matrix Recovery With Missing Values And Faulty Sensors | 0
European Solid-State Circuits Conference | High-Conductance, Ohmic-like HfZrO4 Ferroelectric Memristor | 1
European Symposium on Research in Computer Security | Secure and Efficient Protocols for Iris and Fingerprint Identification | 7
Fusion | The Information Fusion of the IR and UV Image for the Insulation Fault Diagnosis | 0
Future Technologies Conference | The Impact of Distributed Data in Big Data Platforms on Organizations | 0
Global Communications Conference | Spatial-Aware Approximate Big Data Stream Processing | 10
Global Communications Conference | Locality-Preserving Spatial Partitioning for Geo Big Data Analytics in Main Memory Frameworks | 3
Global Communications Conference | Efficient Dictionary Compression for Processing RDF Big Data Using Google BigQuery | 3
Global Power, Energy and Communication Conference | An Overview of Big Data Concepts, Methods, and Analytics: Challenges, Issues, and Opportunities | 2
Global Power, Energy and Communication Conference | The Intelligent Mechanism for Data Collection and Data Mining in the Vehicular Ad-Hoc Networks (VANETs) Based on Big-Data-Driven | 1
Hawaii International Conference on System Sciences | A Knowledge Perspective on Big Data by Joining Enterprise Modeling and Data Analyses | 9
ICCD | Accelerating pointer chasing in 3D-stacked memory: Challenges, mechanisms, evaluation | 31
ICCD | Pensieve: a Machine Learning Assisted SSD Layer for Extending the Lifetime | 0
ICCD | VarVE: Bringing SIMD Performance to Variable-Width Values | 0
IEEE Advanced Information Management, Communicates, Electronic and Automation Control Conference | A Multi-Segment Pushing Curve Synchronous Control System for Hydraulic Support | 0
IEEE Advanced Information Technology, Electronic and Automation Control Conference | Detecting Adverse Drug Reactions through Drug Common Sense Reasoning and Dual-channel Contrastive Learning | 0
IEEE Advanced Information Technology, Electronic and Automation Control Conference | Component Model of Grid Cyber Physical Systems Based on Finite Automata | 0
IEEE Annual Information Technology, Electronics and Mobile Communication Conference | A classification module in data masking framework for Business Intelligence platform in healthcare | 12
IEEE Annual Information Technology, Electronics and Mobile Communication Conference | Formalizing big data processing lifecycles: Acquisition, serialization, aggregation, analysis, mining, knowledge representation, and information dissemination | 1
IEEE Annual Information Technology, Electronics and Mobile Communication Conference | COVID-19 and Pneumonia X-ray Classification via Custom Convolutional Neural Network | 0
IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering | Order-preserving Encryption as a Tool for Privacy-Preserving Machine Learning | 4
IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering | Research on the Use of a Neural Network in the Intelligence System of University Research Activities | 0
IEEE Conference of Russian Young Researchers in Electrical and Electronic Engineering | Research on the Use of Big Data and Artificial Intelligence in Forecasting the Labor Force Balance in the Russian Federation | 0
IEEE Conference on Computer Communications | Schedule or Wait: Age-Minimization for IoT Big Data Processing in MEC via Online Learning | 2
IEEE Conference on Computer Communications | PS-TRUST: Provably secure solution for truthful double spectrum auctions | 0
IEEE Conference on Computer Communications | Enabling Age-Aware Big Data Analytics in Serverless Edge Clouds | 0
IEEE Conference on Decision and Control | Effective resistance of Gromov-hyperbolic graphs: Application to asymptotic sensor network problems | 12
IEEE Conference on Decision and Control | Geometry of power flow in negatively curved power grid | 0
IEEE Conference on Decision and Control | Multi-variable control to mitigate loads in CRISPRa networks | 0
IEEE Conference on High Performance Extreme Computing | Accelerating big data applications using lightweight virtualization framework on enterprise cloud | 8
IEEE Conference on Systems, Process and Control | Chronic Kidney Disease Prediction based on Data Mining Method and Support Vector Machine | 0
IEEE Congress on Evolutionary Computation | A practical implementation of transparent encryption and separation of duties in enterprise databases: protection against external and internal attacks on databases | 15
IEEE India Conference | Early Classification of Abnormal Health using Longitudinal Structural MRI Data | 0
IEEE India Conference | A Quality Sentient System for Cloud Edge Centric Internet of Things | 0
IEEE India Conference | Ensemble Learning Approach for Predictive Maintenance in Investment Casting Process | 0
IEEE International Advance Computing Conference | Big Data Security in Healthcare: Survey on Frameworks and Algorithms | 0
IEEE International Conference on Acoustics, Speech, and Signal Processing | Few-Shot Learning for Ct Scan Based Covid-19 Diagnosis | 13
IEEE International Conference on Acoustics, Speech, and Signal Processing | Cycle Generative Adversarial Network Approaches to Produce Novel Portable Chest X-Rays Images for Covid-19 Diagnosis | 9
IEEE International Conference on Acoustics, Speech, and Signal Processing | Probabilistic Approach to Automatic Music Transcription from Audio Signals | 2
IEEE International Conference on Application-Specific Systems, Architectures, and Processors | Base64 Encoding on Heterogeneous Computing Platforms | 0
IEEE International Conference on Bioinformatics and Biomedicine | Deep Generative Classifiers for Thoracic Disease Diagnosis with Chest X-ray Images | 22
IEEE International Conference on Bioinformatics and Biomedicine | Alzheimer's Disease Diagnosis Using Enhanced Inception Network Based on Brain Magnetic Resonance Image | 17
IEEE International Conference on Bioinformatics and Biomedicine | Mining sequential patterns from uncertain big DNA in the spark framework | 4
IEEE International Conference on Cloud Computing | SLA-Aware and Deadline Constrained Profit Optimization for Cloud Resource Management in Big Data Analytics-as-a-Service Platforms | 3
IEEE International Conference on Cloud Computing | Intermediate Data Caching Optimization for Multi-Stage and Parallel Big Data Frameworks | 1
IEEE International Conference on Cloud Computing | Distributed Hybrid Cloud Management Platform Based on Rule Engine | 0
IEEE International Conference on Cluster Computing | Global Experiences with HPC Operational Data Measurement, Collection and Analysis | 2
IEEE International Conference on Cluster Computing | HPC System Data Pipeline to Enable Meaningful Insights through Analysis-Driven Visualizations | 1
IEEE International Conference on Cluster Computing | Computational Storage to Increase the Analysis Capability of Tier-2 HEP Data Sites | 0
IEEE International Conference on Cognitive Infocommunications | Case Study of an On-premise Data Warehouse Configuration | 0
IEEE International Conference on Cognitive Informatics and Cognitive Computing | Towards MapReduce approach with dynamic fuzzy inference/interpolation for big data classification problems | 0
IEEE International Conference on Communication Software and Networks | Review of association rule mining algorithm in data mining | 0
IEEE International Conference on Compatibility, Power Electronics and Power Engineering | Patterns discovery of load curves characteristics using clustering based data mining | 4
IEEE International Conference on Computer Vision | Thin Structure Estimation with Curvature Regularization | 1
IEEE International Conference on Computer Vision | CCT-Net: Category-Invariant Cross-Domain Transfer for Medical Single-to-Multiple Disease Diagnosis | 0
IEEE International Conference on Condition Monitoring and Diagnosis | Failure Investigation in Molded Case Circuit Breaker(MCCB) and Data Mining Support for Condition-Based Maintenance | 0
IEEE International Conference on Condition Monitoring and Diagnosis | Monitoring and Diagnosing Voltage for Filter Reactor in PPFs to Verify Electrical Insulation Conditions and Maintenance | 0
IEEE International Conference on Condition Monitoring and Diagnosis | Detection of Currents and Unbalanced Current in Double Star Circuits to Diagnose Deterioration of HV Capacitors Filter Using Data Mining Applications | 0
IEEE International Conference on Consumer Electronics | I/O Performance Modeling for Big Data Applications over Cloud Infrastructures | 6
IEEE International Conference on Consumer Electronics | ANovel Severity Index of Heart Disease from Beat-wise Analysis of ECG Using Fuzzy Logic for Smart-Health | 4
IEEE International Conference on Consumer Electronics | Detection of Lung Lesions in Chest X-ray Images based on Artificial Intelligence | 0
IEEE International Conference on Data Engineering | TrajMesa: A Distributed NoSQL Storage Engine for Big Trajectory Data | 35
IEEE International Conference on Data Engineering | JUST: JD Urban Spatio-Temporal Data Engine | 26
IEEE International Conference on Data Engineering | TARDIS: Distributed Indexing Framework for Big Time Series Data | 19
IEEE International Conference on Data Science and Data Intensive Systems | SMASH: A Cloud-Based Architecture for Big Data Processing and Visualization of Traffic Data | 7
IEEE International Conference on Distributed Computing Systems | Catfish: Adaptive RDMA-enabled R-Tree for Low Latency and High Throughput | 2
IEEE International Conference on Distributed Computing Systems | Local Graph Edge Partitioning with a Two-Stage Heuristic Method | 1
IEEE International Conference on Distributed Computing Systems | Cognified Distributed Computing | 1
IEEE International Conference on Electrical, Computer and Communication Technologies | Fetal Head Circumference Measurement from Ultrasound Images Using Attention U-Net | 0
IEEE International Conference on Electrical, Computer and Communication Technologies | An Effective Prediction of Rainfall Using Machine Learning Technique | 0
IEEE International Conference on Electrical, Computer and Communication Technologies | An overview of GeoSpatial Artificial Intelligence technologies for city planning and development | 0
IEEE International Conference on Electro/Information Technology | GPU Accelerated Implementation for Sunday String Pattern Matching Algorithm | 0
IEEE International Conference on Electronics Information and Emergency Communication | Research on Network Public Opinion Analysis and Monitor Method Based on Big Data Technology | 7
IEEE International Conference on Electronics Information and Emergency Communication | View-driven Real-time Sensor Data Processing and Servitization System | 0
IEEE International Conference on Electronics Information and Emergency Communication | BI_Apriori Algorithm: Research and Application Based on Battery Production Data | 0
IEEE International Conference on Electronics, Computing and Communication Technologies | Ensemble learning as a prerogative method of predicting mortality of patients with cardiovascular diseases | 0
IEEE International Conference on Electronics, Computing and Communication Technologies | Towards efficient and dynamic allocations of mist nodes for IoST devices | 0
IEEE International Conference on Emerging Technologies and Factory Automation | Scalable Analytics Platform for Machine Learning in Smart Production Systems | 1
IEEE International Conference on Emerging Technologies and Factory Automation | A Distributed Software Platform for Additive Manufacturing | 0
IEEE International Conference on Emerging Technologies and Factory Automation | An Approach for Data Pipeline with Distributed Query Engine for Industrial Applications | 0
IEEE International Conference on Engineering of Complex Computer Systems | Detecting malicious transactions using Fuzzy Association rule mining | 0
IEEE International Conference on Engineering of Complex Computer Systems | TORUS: Tracing Complex Requirements for Large Cyber-Physical Systems | 0
IEEE International Conference on Fuzzy Systems | Fuzzy Logic-Based Data Analytics on Predicting the Effect of Hurricanes on the Stock Market | 2
IEEE International Conference on Fuzzy Systems | Generating Textual Descriptions for Recommendation Results using Fuzzy Linguistic Summaries | 0
IEEE International Conference on Fuzzy Systems | A Competitive Swarm Algorithm for Image Segmentation Guided by Opposite Fuzzy Entropy | 0
IEEE International Conference on Granular Computing | Scalar-product based secure two-party computation | 1
IEEE International Conference on Healthcare Informatics | Comma: A Collaborative Medical Text Annotation Platform | 0
IEEE International Conference on Healthcare Informatics | Automated Concept Indexing for Health Measurement Scale Items through Prompt Learning with Pre-trained Language Models | 0
